symbol,organ_name,industry,market_cap,is_top_10
MWG,Công ty Cổ phần Đầu tư Thế Giới Di Động,Bán lẻ,93469.0,True
FRT,Công ty Cổ phần Bán lẻ Kỹ thuật số FPT,Bán lẻ,23311.0,True
DGW,Công ty Cổ phần Thế Giới Số,Bán lẻ,8832.0,True
DHT,Công ty Cổ phần Dược phẩm Hà Tây,Bán lẻ,6752.0,True
SAS,Công ty Cổ phần Dịch vụ Hàng không Sân bay Tân Sơn Nhất,Bán lẻ,5907.0,True
AST,Công ty Cổ phần Dịch vụ Hàng không Taseco,Bán lẻ,2898.0,True
PET,Tổng Công ty Cổ phần Dịch vụ Tổng hợp Dầu khí,Bán lẻ,2481.0,True
HTM,Tổng Công ty Thương mại Hà Nội – Công ty cổ phần,Bán lẻ,2115.0,True
PSD,Công ty Cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,Bán lẻ,601.0,True
BTT,Công ty Cổ phần Thương mại - Dịch vụ Bến Thành,Bán lẻ,515.0,True
COM,Công ty Cổ phần Vật tư Xăng dầu,Bán lẻ,441.0,False
AFX,Công ty Cổ phần Xuất Nhập khẩu Nông sản Thực phẩm An Giang,Bán lẻ,269.0,False
SBV,Công ty Cổ phần Siam Brothers Việt Nam,Bán lẻ,242.0,False
CMV,Công ty Cổ phần Thương nghiệp Cà Mau,Bán lẻ,152.0,False
KGM,Công ty Cổ phần Xuất nhập khẩu Kiên Giang,Bán lẻ,140.0,False
PIT,Công ty Cổ phần Xuất nhập khẩu Petrolimex,Bán lẻ,101.0,False
TH1,Công ty Cổ phần Xuất nhập khẩu Tổng hợp I Việt Nam,Bán lẻ,49.0,False
CEN,Công ty Cổ phần CENCON Việt Nam,Bán lẻ,48.0,False
THS,Công ty Cổ phần Thanh Hoa Sông Đà,Bán lẻ,42.0,False
HTT,Công ty Cổ phần Thương mại Hà Tây,Bán lẻ,32.0,False
TOP,Công ty Cổ phần Phân phối Top One,Bán lẻ,23.0,False
BVH,Tập đoàn Bảo Việt,Bảo hiểm,36597.0,True
PVI,Công ty Cổ phần PVI,Bảo hiểm,12930.0,True
BIC,Tổng Công ty Cổ phần Bảo hiểm Ngân hàng Đầu tư và Phát triển Việt Nam,Bảo hiểm,4351.0,True
VNR,Tổng Công ty Cổ phần Tái bảo hiểm Quốc gia Việt Nam,Bảo hiểm,4067.0,True
MIG,Tổng Công ty Cổ phần Bảo hiểm Quân đội,Bảo hiểm,3273.0,True
BMI,Tổng Công ty Cổ phần Bảo Minh,Bảo hiểm,2746.0,True
PTI,Tổng Công ty Cổ phần Bảo hiểm Bưu điện,Bảo hiểm,2484.0,True
PGI,Tổng Công ty Cổ phần Bảo hiểm Petrolimex,Bảo hiểm,2318.0,True
PRE,Tổng Công ty Cổ phần Tái bảo hiểm Hà Nội,Bảo hiểm,2088.0,True
ABI,Công ty Cổ phần Bảo hiểm Ngân hàng Nông Nghiệp,Bảo hiểm,2052.0,True
BHI,Tổng Công ty Cổ phần Bảo hiểm Sài Gòn - Hà Nội,Bảo hiểm,1160.0,False
AIC,Công ty Cổ phần Tập đoàn Bảo hiểm DBV,Bảo hiểm,1110.0,False
BLI,Tổng Công ty Cổ phần Bảo hiểm Bảo Long,Bảo hiểm,534.0,False
VIC,Tập đoàn Vingroup - Công ty CP,Bất động sản,326923.0,True
VHM,Công ty Cổ phần Vinhomes,Bất động sản,280947.0,True
BCM,Tổng Công ty Đầu tư và Phát triển Công nghiệp - CTCP,Bất động sản,61582.0,True
VRE,Công ty Cổ phần Vincom Retail,Bất động sản,55785.0,True
SSH,Công ty Cổ phần Phát triển Sunshine Homes,Bất động sản,32909.0,True
KDH,Công ty Cổ phần Đầu tư và Kinh doanh nhà Khang Điền,Bất động sản,29576.0,True
VEF,Công ty Cổ phần Trung tâm Hội chợ Triển lãm Việt Nam,Bất động sản,29423.0,True
NVL,Công ty Cổ phần Tập đoàn Đầu tư Địa ốc No Va,Bất động sản,27886.0,True
KSF,Công ty Cổ phần Tập đoàn Sunshine,Bất động sản,19770.0,True
KBC,Tổng Công ty Phát triển Đô thị Kinh Bắc,Bất động sản,18730.0,True
VPI,Công ty Cổ phần Phát triển Bất động sản Văn Phú,Bất động sản,16739.0,False
DXG,Công ty Cổ phần Tập đoàn Đất Xanh,Bất động sản,16047.0,False
PDR,Công ty Cổ phần Phát triển Bất động sản Phát Đạt,Bất động sản,15196.0,False
NLG,Công ty Cổ phần Đầu tư Nam Long,Bất động sản,14421.0,False
SIP,Công ty Cổ phần Đầu tư Sài Gòn VRG,Bất động sản,13558.0,False
IDC,Tổng Công ty IDICO - CTCP,Bất động sản,13299.0,False
